YEAR,DEMAND_EJ_BASE,DEMAND_M_KM_BASE,PROGRESSION_CURVE,REFINING_WTT,ELECTRICITY_DAC_KWH_KGCO2,GRID_CARBON_INTENSITY_WORLD,GRID_CARBON_INTENSITY_WIND
2020,14.3224710277,63757.0637852373,0.0000000000,6.1000000000,0.5000000000,0.3625000000,0.0100000000
2021,14.3797609118,64012.0920403783,0.0000000000,6.0234509804,0.4916814683,0.3538500000,0.0099366667
2022,14.4372799555,65579.7351107549,0.0000000000,5.9469019608,0.4833629366,0.3452000000,0.0098733333
2023,14.4950290753,67185.7694399979,0.0006108794,5.8703529412,0.4750444050,0.3365500000,0.0098100000
2024,14.5507175780,68820.2966137622,0.0009110512,5.7938039216,0.4667258733,0.3279000000,0.0097466667
2025,14.8417319295,71629.2883122831,0.0013585200,5.7172549020,0.4584073416,0.3192500000,0.0096833333
2026,15.1385665681,74552.9327331926,0.0020253204,5.6407058824,0.4500888099,0.3106000000,0.0096200000
2027,15.4413378995,77595.9095794454,0.0030184163,5.5641568627,0.4417702783,0.3019500000,0.0095566667
2028,15.7501646575,80763.0895622799,0.0044962732,5.4876078431,0.4334517466,0.2933000000,0.0094933333
2029,16.0651679506,84059.5421974750,0.0066928509,5.4110588235,0.4251332149,0.2846500000,0.0094300000
2030,16.3864713096,87490.5439198209,0.0099518019,5.3345098039,0.4168146832,0.2760000000,0.0093666667
2031,16.7142007358,91061.5865287932,0.0147740317,5.2579607843,0.4084961516,0.2662277778,0.0093033333
2032,17.0484847505,94778.3859789480,0.0218812709,5.1814117647,0.4001776199,0.2564555556,0.0092400000
2033,17.3894544455,98646.8915291092,0.0322954647,5.1048627451,0.3918590882,0.2466833333,0.0091766667
2034,17.7372435344,102673.2952649910,0.0474258732,5.0283137255,0.3835405565,0.2369111111,0.0091133333
2035,18.0919884051,106864.0420105010,0.0691384203,4.9517647059,0.3752220249,0.2271388889,0.0090500000
2036,18.4538281732,111225.8396435830,0.0997504891,4.8752156863,0.3669034932,0.2173666667,0.0089866667
2037,18.8229047367,115765.6698331170,0.1418510649,4.7986666667,0.3585849615,0.2075944444,0.0089233333
2038,19.1993628314,120490.7992140600,0.1978161114,4.7221176471,0.3502664298,0.1978222222,0.0088600000
2039,19.5833500881,125408.7910187160,0.2689414214,4.6455686275,0.3419478982,0.1880500000,0.0087966667
2040,19.9750170898,130527.5171827450,0.3543436938,4.5690196078,0.3336293665,0.1782777778,0.0087333333
2041,20.3745174316,135855.1709453060,0.4501660027,4.4924705882,0.3253108348,0.1685055556,0.0086700000
2042,20.7820077803,141400.2799634820,0.5498339973,4.4159215686,0.3169923031,0.1587333333,0.0086066667
2043,21.1976479359,147171.7199619910,0.6456563062,4.3393725490,0.3086737715,0.1489611111,0.0085433333
2044,21.6216008946,153178.7289400320,0.7310585786,4.2628235294,0.3003552398,0.1391888889,0.0084800000
2045,22.0540329125,159430.9219579920,0.8021838886,4.1862745098,0.2920367081,0.1294166667,0.0084166667
2046,22.4951135707,165938.3065277060,0.8581489351,4.1097254902,0.2837181764,0.1196444444,0.0083533333
2047,22.9450158421,172711.2986308780,0.9002495109,4.0331764706,0.2753996448,0.1098722222,0.0082900000
2048,23.4039161590,179760.7393913220,0.9500000000,3.9566274510,0.2670811131,0.1001000000,0.0082266667
2049,23.8719944822,187097.9124277020,0.9850000000,3.8800784314,0.2587625814,0.0903277778,0.0081633333
2050,24.3494343718,194734.5619145470,1.0000000000,3.8035294118,0.2504440497,0.0805555556,0.0081000000
2051,24.8364230592,202682.9113804470,1.0000000000,3.8035294118,0.2504440497,0.0563888889,0.0056700000
2052,25.3331515204,210955.6832735270,1.0000000000,3.8035294118,0.2504440497,0.0394722222,0.0039690000
2053,25.8398145508,219566.1193255080,1.0000000000,3.8035294118,0.2504440497,0.0276305556,0.0027783000
2054,26.3566108418,228528.0017469570,1.0000000000,3.8035294118,0.2504440497,0.0193413889,0.0019448100
2055,26.8837430587,237855.6752876490,1.0000000000,3.8035294118,0.2504440497,0.0135389722,0.0013613670
2056,27.4214179199,247564.0701973490,1.0000000000,3.8035294118,0.2504440497,0.0094772806,0.0009529569
2057,27.9698462782,257668.7261237710,1.0000000000,3.8035294118,0.2504440497,0.0066340964,0.0006670698
2058,28.5292432038,268185.8169859660,1.0000000000,3.8035294118,0.2504440497,0.0046438675,0.0004669489
2059,29.0998280679,279132.1768629440,1.0000000000,3.8035294118,0.2504440497,0.0032507072,0.0003268642
2060,29.6818246292,290525.3269389830,1.0000000000,3.8035294118,0.2504440497,0.0022754951,0.0002288050
